Cleanup_ID,Country,State,Zone,GPS,Cleanup_type,Cleanup_date,Animal,Animal_Status,
5985,United States,"Maryland, USA","Kent Narrows, MD, USA","38.972588957925, -76.249215602875",land,09/17/2016,SNAKE,dead,
5986,United States,"Maryland, USA","Kent Narrows, MD, USA","38.965615454342, -76.243094801903",land,09/17/2016,CRABS,dead,
5994,United States,"Hawaii, USA","Lahaina, HI, USA","20.871644107753, -156.67430877686",land,09/24/2016,gecko,dead,
5994,United States,"Hawaii, USA","Lahaina, HI, USA","20.871644107753, -156.67430877686",land,09/24/2016,bird,dead,
5994,United States,"Hawaii, USA","Lahaina, HI, USA","20.871644107753, -156.67430877686",land,09/24/2016,frog,dead,
5994,United States,"Hawaii, USA","Lahaina, HI, USA","20.871644107753, -156.67430877686",land,09/24/2016,squid,dead,
5998,United States,"Hawaii, USA","Maui County, HI, USA","20.810229552573, -156.60956025124",land,09/24/2016,bird,dead,
5998,United States,"Hawaii, USA","Maui County, HI, USA","20.810229552573, -156.60956025124",land,09/24/2016,bird,dead,
5999,United States,"Hawaii, USA","Kihei, HI 96753, USA","20.777509245765, -156.46118542529",land,09/17/2016,fish,dead,
6021,Colombia,"Valle del Cauca, Colombia","Buenaventura, Valle del Cauca, Colombia","3.9292066825632, -77.352654933929",land,09/17/2016,3 Chickens  and ducks eating styrofoam,injured,
6061,South Africa,"Western Cape, South Africa","Cape Town, South Africa","-33.806538025096, 18.368797302246",land,09/17/2016,Kelp Gull,dead,
6061,South Africa,"Western Cape, South Africa","Cape Town, South Africa","-33.806538025096, 18.368797302246",land,09/17/2016,Cape Fur Seal,dead,
6064,United States,"Delaware, USA","Kent County, DE, USA","39.054441527407, -75.393075942993",land,09/17/2016,sea turtle,dead,
6066,South Africa,"Western Cape, South Africa","Cape Town, South Africa","-34.139372533535, 18.32377910614",land,09/17/2016,Cape Fur Seal (Young),dead,
6067,United States,"Delaware, USA","Kent County, DE, USA","39.000721403714, -75.328145027161",land,09/17/2016,sea turtle,dead,
6070,United States,"Delaware, USA","New Castle County, DE, USA","39.630306984464, -75.616321563721",land,09/17/2016,3 skeletons,dead,
6072,Cayman Islands,"West Bay, Cayman Islands","West Bay, Cayman Islands","19.392448679314, -81.395130157471",land,09/17/2016,Dog,dead,
5971,United States,"Delaware, USA","Sussex County, DE, USA","38.609907511268, -75.068099498749",land,09/17/2016,puffer fish,dead,
6076,United States,"Delaware, USA","New Castle County, DE, USA","39.505950531863, -75.579532384872",land,09/17/2016,fish,dead,
6076,United States,"Delaware, USA","New Castle County, DE, USA","39.505950531863, -75.579532384872",land,09/17/2016,seagull,dead,
6076,United States,"Delaware, USA","New Castle County, DE, USA","39.505950531863, -75.579532384872",land,09/17/2016,sturgeon,dead,
6080,United States,"Delaware, USA","New Castle County, DE, USA","39.554696275675, -75.61692237854",land,09/17/2016,goose,dead,
6082,United States,"Delaware, USA","New Castle County, DE, USA","39.387301028791, -75.526027679443",land,09/17/2016,fish,dead,
6083,United States,"Delaware, USA","Kent County, DE, USA","39.331598012076, -75.470870733261",land,09/17/2016,bird,dead,
6083,United States,"Delaware, USA","Kent County, DE, USA","39.331598012076, -75.470870733261",land,09/17/2016,4 fish,dead,
6085,United States,"California, USA","San Diego, CA, USA","32.779661665657, -117.24823951721",land,09/17/2016,Unnamed animal,dead,
6087,United States,"Delaware, USA","Kent County, DE, USA","39.330582622574, -75.521087050438",land,09/17/2016,fox,dead,
6087,United States,"Delaware, USA","Kent County, DE, USA","39.330582622574, -75.521087050438",land,09/17/2016,turtle,dead,
6087,United States,"Delaware, USA","Kent County, DE, USA","39.330582622574, -75.521087050438",land,09/17/2016,unknown,dead,
6089,United States,"Delaware, USA","Little Creek, DE 19901, USA","39.166850162282, -75.447406768799",land,09/17/2016,unknown,dead,
6094,United States,"California, USA","San Diego, CA, USA","32.80419367179, -117.26139307022",land,09/17/2016,unnamed animal,dead,
6094,United States,"California, USA","San Diego, CA, USA","32.80419367179, -117.26139307022",land,09/17/2016,unnamed animal,dead,
6096,United States,"Delaware, USA","Sussex County, DE, USA","38.946950781629, -75.315098762512",land,09/17/2016,horse shoe crabs,dead,
6096,United States,"Delaware, USA","Sussex County, DE, USA","38.946950781629, -75.315098762512",land,09/17/2016,fish,dead,
6097,United States,"California, USA","Imperial Beach, CA, USA","32.535598042566, -117.12447166443",land,09/17/2016,bird,dead,
6099,United States,"California, USA","San Diego, CA, USA","32.725414716627, -117.19339370728",land,09/17/2016,pelican,dead,
6099,United States,"California, USA","San Diego, CA, USA","32.725414716627, -117.19339370728",land,09/17/2016,sea gull,dead,
6107,United States,"Florida, USA","St. Petersburg, FL, USA","27.774012984841, -82.626918554306",land,09/17/2016,3,dead,
6108,United States,"Florida, USA","Gandy, FL, USA","27.871365407684, -82.609376907349",land,09/17/2016,9,dead,
6111,United States,"Florida, USA","St. Petersburg, FL, USA","27.735446429045, -82.64716386795",land,09/24/2016,2,dead,
6120,United States,"California, USA","San Diego, CA, USA","32.80127183199, -117.22214698792",land,09/17/2016,rat,dead,
6127,United States,"California, USA","Coronado, CA, USA","32.680048240467, -117.18062639236",land,09/17/2016,rat,dead,
6127,United States,"California, USA","Coronado, CA, USA","32.680048240467, -117.18062639236",land,09/17/2016,stingray,dead,
6127,United States,"California, USA","Coronado, CA, USA","32.680048240467, -117.18062639236",land,09/17/2016,seal,dead,
6129,United States,"California, USA","Huntington Beach, CA, USA","33.659470204562, -118.00534516577",land,09/17/2016,bird,dead,
6129,United States,"California, USA","Huntington Beach, CA, USA","33.659470204562, -118.00534516577",land,09/17/2016,squirrel,dead,
6137,United States,"California, USA","San Diego, CA, USA","32.831098939786, -117.2084569931",land,09/17/2016,bird,dead,
6137,United States,"California, USA","San Diego, CA, USA","32.831098939786, -117.2084569931",land,09/17/2016,lizard,dead,
6142,United States,"California, USA","Imperial Beach, CA, USA","32.583849325657, -117.1321105957",land,09/17/2016,pigeon,dead,
6142,United States,"California, USA","Imperial Beach, CA, USA","32.583849325657, -117.1321105957",land,09/17/2016,pelican,dead,
6142,United States,"California, USA","Imperial Beach, CA, USA","32.583849325657, -117.1321105957",land,09/17/2016,clam,dead,
6143,United States,"California, USA","Imperial Beach, CA, USA","32.583849325657, -117.1321105957",land,09/17/2016,pigeon,dead,
6143,United States,"California, USA","Imperial Beach, CA, USA","32.583849325657, -117.1321105957",land,09/17/2016,pelican,dead,
